Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
12/16/16,Ucafe Berkeley,"SQ *UCAFE, BERKELEY BERKELEY CA",2.9,debit,Restaurants,Discover,,
12/16/16,SF Soup Co,SF SOUP CO BANCROFT BERKELEY CA,10.16,debit,Restaurants,Discover,,
12/16/16,BART,BART-CLIPPER BERKELEY BERKELEY CA,20,debit,Transportation,Discover,,
12/16/16,Cal Student,CAL STUDENT STORE BERKELEY CA,28.46,debit,Gift,Discover,,
12/12/16,Ucb Housing Dining,UCB HOUSING&DINING SVCS 510-643-6955 CA,20,debit,Transfer for Cash Spending,Discover,,
12/12/16,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,9.04,debit,Restaurants,Discover,,
12/12/16,Sharetea,SQ *SHARETEA BERKELEY CA,4.1,debit,Restaurants,Discover,,
12/9/16,Walgreens,WALGREENS #10045 BERKELEY CA,1.41,debit,Food,Discover,,
12/8/16,Diyar Mediterranean Cusi,DIYAR MEDITERRANEAN CUSI BERKELEY CA,9.84,debit,Restaurants,Discover,,
12/7/16,Cal Student,CAL STUDENT STORE BERKELEY CA,54.74,debit,Clothing,Discover,,
12/6/16,Amazon,AMAZON PICKUP POINTS 877-345-0975 WAJQ8BXGNHFVW,24.79,debit,Shopping,Discover,,
12/4/16,Mandarin House Restaurant,MANDARIN HOUSE RESTAURAN BERKELEY CA,7.65,debit,Restaurants,Discover,,
12/3/16,Amazon,AMAZON.COM AMZN.COM/BILLWAX8YDF0UN1C5,24.58,debit,Shopping,Discover,,
12/2/16,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,8.54,debit,Restaurants,Discover,,
11/29/16,Tea Cory Hall,SQ *TEA 1 - CORY HALL BERKELEY CA00011529215074541,4,debit,Restaurantss,Discover,,
11/28/16,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAT1FFDMRI3OF,6.99,debit,Shopping,Discover,,
11/26/16,Artichokes,SQ *ARTICHOKE BASILLE' BERKELEY CA0001152921507451,5.2,debit,Restaurants,Discover,,
11/25/16,Internet Thank You,INTERNET PAYMENT - THANK YOU,273.45,credit,Credit Card Payment,Discover,,
11/23/16,Donelan's,DONELAN'S OF LINCO LINCOLN MA,6.99,debit,Food,Discover,,
11/23/16,Cafe Strada Berkeley,"CAFE STRADA, INC BERKELEY CA",2.95,debit,Restaurantss,Discover,,
11/22/16,Amoura,AMOURA SFO SAN FRANCISCOCA,9.44,debit,Restaurants,Discover,,
11/22/16,BART,BART-CLIPPER BERKELEY BERKELEY CA,20,debit,Transportation,Discover,,
11/22/16,Amazon,AMAZON PICKUP POINTS 877-345-0975 WAPVR06URHZP0,9.3,debit,Shopping,Discover,,
11/21/16,Tea Cory Hall,SQ *TEA 1 - CORY HALL BERKELEY CA00011529215074474,4,debit,Restaurants,Discover,,
11/18/16,House Of Curries,HOUSE OF CURRIES BERKELEY CA,10.4,debit,Restaurants,Discover,,
11/18/16,Walgreens,WALGREENS #10045 BERKELEY CA,3.19,debit,Food,Discover,,
11/18/16,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,9.04,debit,Restaurants,Discover,,
11/14/16,Ucb Housing Dining,UCB HOUSING&DINING SVCS 510-643-6955 CA,20,debit,Transfer for Cash Spending,Discover,,
11/13/16,Ation 723 Tea Street,723 TEA STATION BERKELEY CA,7.65,debit,Restaurantss,Discover,,
11/10/16,Ucafe Berkeley,"SQ *UCAFE, BERKELEY BERKELEY CA0001152921507435841",2.75,debit,Restaurants,Discover,,
11/10/16,La Val's Pizza,LAVAL'S PIZZA BERKELEY CA,9.3,debit,Restaurants,Discover,,
11/9/16,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,8.54,debit,Restaurants,Discover,,
11/6/16,Ation 723 Tea Street,723 TEA STATION BERKELEY CA,8.27,debit,Restaurantss,Discover,,
11/4/16,Amazon,AMAZON PICKUP POINTS 877-345-0975 WAVHOYB211YRP,25.61,debit,Shopping,Discover,,
11/3/16,Artichokes,SQ *ARTICHOKE BASILLE' BERKELEY CA0001152921507427,5.2,debit,Restaurants,Discover,,
11/2/16,Cafe Strada Berkeley,"CAFE STRADA, INC BERKELEY CA",2.95,debit,Restaurantss,Discover,,
11/2/16,Amazon,AMAZON.COM AMZN.COM/BILLWAS92AN8Q6MPU,12.41,debit,Shopping,Discover,,
10/30/16,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,8.54,debit,Restaurants,Discover,,
10/30/16,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAQXI26QETC0G,10.94,debit,Shopping,Discover,,
10/30/16,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,8.54,debit,Restaurants,Discover,,
10/29/16,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAQXIRBS5R0F1,25.97,debit,Shopping,Discover,,
10/26/16,Sharetea,SQ *SHARETEA BERKELEY CA0001152921507419964410,4.1,debit,Restaurants,Discover,,
10/24/16,Amazon,AMAZON PICKUP POINTS 877-345-0975 WAEIYIHN10TWM,17.37,debit,Shopping,Discover,,
10/23/16,Internet Thank You,INTERNET PAYMENT - THANK YOU,136.1,credit,Credit Card Payment,Discover,,
10/23/16,Ucb Housing Dining,UCB HOUSING&DINING SVCS 510-643-6955 CA,20,debit,Transfer for Cash Spending,Discover,,
10/16/16,Amazon,AMAZON PICKUP POINTS 877-345-0975 WAG4Q9R3IKRN9,14.22,debit,Shopping,Discover,,
10/15/16,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,8.04,debit,Restaurants,Discover,,
10/15/16,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAKYG48B5SZM0,16.95,debit,Shopping,Discover,,
10/15/16,Amazon,AMAZON PICKUP POINTS 877-345-0975 WAI8CZU4V6UT0,11.6,debit,Shopping,Discover,,
10/14/16,Cafe Strada Berkeley,"CAFE STRADA, INC BERKELEY CA",1.95,debit,Restaurantss,Discover,,
10/7/16,Dumpling Express,DUMPLING EXPRESS BERKELEY CA,8.54,debit,Restaurants,Discover,,
10/1/16,Sweetheart Cafe,SQ *SWEETHEART CAFE BERKELEY CA0001152921507392887,3.11,debit,Restaurantss,Discover,,
9/30/16,Amazon,AMAZON PICKUP POINTS 877-345-0975 WAQNFQ0I2N5VZ,12.46,debit,Shopping,Discover,,
9/26/16,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAPSZW18FL65W,12.95,debit,Shopping,Discover,,
9/26/16,Simply Bowl,SIMPLY BOWL BERKELEY CA,11.5,debit,Restaurants,Discover,,
9/25/16,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAILEP1GHK5UI,4.95,debit,Shopping,Discover,,
9/25/16,Ucb Housing Dining,UCB HOUSING&DINING SVCS 510-643-6955 CA,20,debit,Transfer for Cash Spending,Discover,,
9/24/16,Amazon,AMAZON PICKUP POINTS 877-345-0975 WATZP495DA69Q,9.83,debit,Shopping,Discover,,
9/24/16,Internet Thank You,INTERNET PAYMENT - THANK YOU,234.66,credit,Credit Card Payment,Discover,,
