"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"2/10/2017","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILLWAQEDZANLD629","12.87","debit","Shopping","Discover","",""
"2/07/2017","Amazon","AMAZON PICKUP POINTS 877-345-0975 WAJQ8L5J02K1G","24.79","credit","Shopping","Discover","",""
"2/05/2017","Badminton Alley","BADMINTON ALLEY 402-935-7733 CA","97.45","debit","Sporting Goods","Discover","",""
"2/04/2017","Pp Creamberkel","PP*CREAMBERKEL SAN JOSE CA","3.99","debit","Fast Food","Discover","",""
"1/30/2017","Ucb Housing Dining","UCB HOUSING&DINING SVCS 510-643-6955 CA","20.00","debit","Transfer for Cash Spending","Discover","",""
"1/27/2017","Tea Cory Hall","SQ *TEA 1 - CORY HALL BERKELEY CA00023058430109710","4.25","debit","Fast Food","Discover","",""
"1/25/2017","Katsumi Sushi","KATSUMI SUSHI BERKELEY CA","9.25","debit","Restaurants","Discover","",""
"1/23/2017","Ucb Recreational Sports","UCB RECREATIONAL SPORTS 510-642-7796 CA","70.00","debit","Tuition","Discover","",""
"1/21/2017","Pasta Moto","PASTA MOTO SAN FRANCISCOCA","10.70","debit","Restaurants","Discover","",""
"12/23/2016","Internet Thank You","INTERNET PAYMENT - THANK YOU","254.90","credit","Credit Card Payment","Discover","",""
"12/20/2016","Tree Top Thai","TREE TOP THAI CUISINE WALTHAM MA","12.50","debit","Restaurants","Discover","",""
"12/16/2016","Ucafe Berkeley","SQ *UCAFE, BERKELEY BERKELEY CA","2.90","debit","Fast Food","Discover","",""
"12/16/2016","SF Soup Co","SF SOUP CO BANCROFT BERKELEY CA","10.16","debit","Fast Food","Discover","",""
"12/16/2016","BART","BART-CLIPPER BERKELEY BERKELEY CA","20.00","debit","Public Transportation","Discover","",""
"12/16/2016","Cal Student","CAL STUDENT STORE BERKELEY CA","28.46","debit","Gift","Discover","",""
"12/12/2016","Ucb Housing Dining","UCB HOUSING&DINING SVCS 510-643-6955 CA","20.00","debit","Transfer for Cash Spending","Discover","",""
"12/12/2016","Dumpling Express","DUMPLING EXPRESS BERKELEY CA","9.04","debit","Restaurants","Discover","",""
"12/12/2016","Sharetea","SQ *SHARETEA BERKELEY CA","4.10","debit","Fast Food","Discover","",""
"12/09/2016","Walgreens","WALGREENS #10045 BERKELEY CA","1.41","debit","Groceries","Discover","",""
"12/08/2016","Diyar Mediterranean Cusi","DIYAR MEDITERRANEAN CUSI BERKELEY CA","9.84","debit","Restaurants","Discover","",""
"12/07/2016","Cal Student","CAL STUDENT STORE BERKELEY CA","54.74","debit","Clothing","Discover","",""
"12/06/2016","Amazon","AMAZON PICKUP POINTS 877-345-0975 WAJQ8BXGNHFVW","24.79","debit","Shopping","Discover","",""
"12/04/2016","Mandarin House Restaurant","MANDARIN HOUSE RESTAURAN BERKELEY CA","7.65","debit","Restaurants","Discover","",""
"12/03/2016","Amazon","AMAZON.COM AMZN.COM/BILLWAX8YDF0UN1C5","24.58","debit","Shopping","Discover","",""
"12/02/2016","Dumpling Express","DUMPLING EXPRESS BERKELEY CA","8.54","debit","Restaurants","Discover","",""
"11/29/2016","Tea Cory Hall","SQ *TEA 1 - CORY HALL BERKELEY CA00011529215074541","4.00","debit","Coffee Shops","Discover","",""
"11/28/2016","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILLWAT1FFDMRI3OF","6.99","debit","Shopping","Discover","",""
"11/26/2016","Artichokes","SQ *ARTICHOKE BASILLE' BERKELEY CA0001152921507451","5.20","debit","Restaurants","Discover","",""
"11/25/2016","Internet Thank You","INTERNET PAYMENT - THANK YOU","273.45","credit","Credit Card Payment","Discover","",""
"11/23/2016","Donelan's","DONELAN'S OF LINCO LINCOLN MA","6.99","debit","Groceries","Discover","",""
"11/23/2016","Cafe Strada Berkeley","CAFE STRADA, INC BERKELEY CA","2.95","debit","Coffee Shops","Discover","",""
"11/22/2016","Amoura","AMOURA SFO SAN FRANCISCOCA","9.44","debit","Fast Food","Discover","",""
"11/22/2016","BART","BART-CLIPPER BERKELEY BERKELEY CA","20.00","debit","Public Transportation","Discover","",""
"11/22/2016","Amazon","AMAZON PICKUP POINTS 877-345-0975 WAPVR06URHZP0","9.30","debit","Shopping","Discover","",""
"11/21/2016","Tea Cory Hall","SQ *TEA 1 - CORY HALL BERKELEY CA00011529215074474","4.00","debit","Fast Food","Discover","",""
"11/18/2016","House Of Curries","HOUSE OF CURRIES BERKELEY CA","10.40","debit","Restaurants","Discover","",""
"11/18/2016","Walgreens","WALGREENS #10045 BERKELEY CA","3.19","debit","Groceries","Discover","",""
"11/18/2016","Dumpling Express","DUMPLING EXPRESS BERKELEY CA","9.04","debit","Restaurants","Discover","",""
"11/14/2016","Ucb Housing Dining","UCB HOUSING&DINING SVCS 510-643-6955 CA","20.00","debit","Transfer for Cash Spending","Discover","",""
"11/13/2016","Ation 723 Tea Street","723 TEA STATION BERKELEY CA","7.65","debit","Coffee Shops","Discover","",""
"11/10/2016","Ucafe Berkeley","SQ *UCAFE, BERKELEY BERKELEY CA0001152921507435841","2.75","debit","Restaurants","Discover","",""
"11/10/2016","La Val's Pizza","LAVAL'S PIZZA BERKELEY CA","9.30","debit","Fast Food","Discover","",""
"11/09/2016","Dumpling Express","DUMPLING EXPRESS BERKELEY CA","8.54","debit","Food & Dining","Discover","",""
"11/06/2016","Ation 723 Tea Street","723 TEA STATION BERKELEY CA","8.27","debit","Coffee Shops","Discover","",""
"11/04/2016","Amazon","AMAZON PICKUP POINTS 877-345-0975 WAVHOYB211YRP","25.61","debit","Shopping","Discover","",""
"11/03/2016","Artichokes","SQ *ARTICHOKE BASILLE' BERKELEY CA0001152921507427","5.20","debit","Restaurants","Discover","",""
"11/02/2016","Cafe Strada Berkeley","CAFE STRADA, INC BERKELEY CA","2.95","debit","Coffee Shops","Discover","",""
"11/02/2016","Amazon","AMAZON.COM AMZN.COM/BILLWAS92AN8Q6MPU","12.41","debit","Shopping","Discover","",""
"10/30/2016","Dumpling Express","DUMPLING EXPRESS BERKELEY CA","8.54","debit","Restaurants","Discover","",""
"10/30/2016","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILLWAQXI26QETC0G","10.94","debit","Shopping","Discover","",""
"10/30/2016","Dumpling Express","DUMPLING EXPRESS BERKELEY CA","8.54","debit","Restaurants","Discover","",""
"10/29/2016","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILLWAQXIRBS5R0F1","25.97","debit","Shopping","Discover","",""
"10/26/2016","Sharetea","SQ *SHARETEA BERKELEY CA0001152921507419964410","4.10","debit","Fast Food","Discover","",""
"10/24/2016","Amazon","AMAZON PICKUP POINTS 877-345-0975 WAEIYIHN10TWM","17.37","debit","Shopping","Discover","",""
"10/23/2016","Internet Thank You","INTERNET PAYMENT - THANK YOU","136.10","credit","Credit Card Payment","Discover","",""
"10/23/2016","Ucb Housing Dining","UCB HOUSING&DINING SVCS 510-643-6955 CA","20.00","debit","Transfer for Cash Spending","Discover","",""
"10/16/2016","Amazon","AMAZON PICKUP POINTS 877-345-0975 WAG4Q9R3IKRN9","14.22","debit","Shopping","Discover","",""
"10/15/2016","Dumpling Express","DUMPLING EXPRESS BERKELEY CA","8.04","debit","Restaurants","Discover","",""
"10/15/2016","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILLWAKYG48B5SZM0","16.95","debit","Shopping","Discover","",""
"10/15/2016","Amazon","AMAZON PICKUP POINTS 877-345-0975 WAI8CZU4V6UT0","11.60","debit","Shopping","Discover","",""
"10/14/2016","Cafe Strada Berkeley","CAFE STRADA, INC BERKELEY CA","1.95","debit","Coffee Shops","Discover","",""
"10/07/2016","Dumpling Express","DUMPLING EXPRESS BERKELEY CA","8.54","debit","Restaurants","Discover","",""
"10/01/2016","Sweetheart Cafe","SQ *SWEETHEART CAFE BERKELEY CA0001152921507392887","3.11","debit","Coffee Shops","Discover","",""
"9/30/2016","Amazon","AMAZON PICKUP POINTS 877-345-0975 WAQNFQ0I2N5VZ","12.46","debit","Shopping","Discover","",""
"9/26/2016","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILLWAPSZW18FL65W","12.95","debit","Shopping","Discover","",""
"9/26/2016","Simply Bowl","SIMPLY BOWL BERKELEY CA","11.50","debit","Restaurants","Discover","",""
"9/25/2016","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILLWAILEP1GHK5UI","4.95","debit","Shopping","Discover","",""
"9/25/2016","Ucb Housing Dining","UCB HOUSING&DINING SVCS 510-643-6955 CA","20.00","debit","Transfer for Cash Spending","Discover","",""
"9/24/2016","Amazon","AMAZON PICKUP POINTS 877-345-0975 WATZP495DA69Q","9.83","debit","Shopping","Discover","",""
"9/24/2016","Internet Thank You","INTERNET PAYMENT - THANK YOU","234.66","credit","Credit Card Payment","Discover","",""
